GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UBICR001IMPL,com.bbva.ubic.lib.r001.impl,UBICR001Abstract,0,11,0,0,0,4,0,3,0,3
UBICR001IMPL,com.bbva.ubic.lib.r001.impl,UBICR001Impl,0,101,0,0,0,18,0,3,0,3
