GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UBICT002,com.bbva.ubic,AbstractUBICT00201COTransaction,15,8,0,0,5,3,3,2,3,2
UBICT002,com.bbva.ubic,UBICT00201COTransaction,22,20,0,0,6,7,0,3,0,3
